Airport ID,Altitude,City,Country,DST,Icao,Latitude,Longitude,Name,Number of Records,Origin Path 2,TZ database time zone,Timezone
7751,0,Nassau,Bahamas,A,\N,25.081158,-77.341207,Nassau Cruise Terminal,1,,America/Nassau,-5
9106,0,Ragged Island,Bahamas,A,\N,22.148056,-75.693333,Cococay,1,,America/Nassau,-5
9117,0,Ship Channel Cay,Bahamas,A,\N,24.819302,-76.824331,Ship Channel Cay,1,,America/Nassau,-5
4069,12,Bermuda,Bermuda,A,TXKF,32.364042,-64.678703,Bermuda Intl,1,BDA,Atlantic/Bermuda,-4
5529,104,Sanikiluaq,Canada,A,CYSK,56.5378,-79.2467,Sanikiluaq Airport,1,YSK,\N,-5
8216,90,La Romaine,Canada,A,CTT5,50.257222,-60.669167,La Romaine Airport,1,,America/Blanc-Sablon,-4
5485,121,Lourdes-De-Blanc-Sablon,Canada,A,CYBX,51.4436,-57.1853,Lourdes De Blanc Sablon Airport,1,YBX,America/Blanc-Sablon,-4
5503,39,Chevery,Canada,A,CYHR,50.4689,-59.6367,Chevery Airport,1,YHR,America/Blanc-Sablon,-4
6789,20,St-Augustin,Canada,A,CYIF,51.2117,-58.6583,St Augustin Airport,1,YIF,America/Blanc-Sablon,-4
8217,32,Kegaska,Canada,A,CTK6,50.195833,-61.265833,Kegaska Airport,1,ZKG,America/Blanc-Sablon,-4
5474,102,La TabatiÃ¨re,Canada,A,CTU5,50.8308,-58.9756,La TabatiÃ¨re Airport,1,ZLT,America/Blanc-Sablon,-4
5473,107,TÃªte-Ã -la-Baleine,Canada,A,CTB6,50.6744,-59.3836,TÃªte-Ã -la-Baleine Airport,1,ZTB,America/Blanc-Sablon,-4
74,1408,Atikokan,Canada,A,CYIB,48.773888,-91.638611,Atikokan Muni,1,YIB,America/Coral_Harbour,-5
105,1267,Pickle Lake,Canada,A,CYPL,51.446388,-90.214167,Pickle Lake,1,YPL,America/Coral_Harbour,-5
41,2661,Coral Harbour,Canada,A,CYCZ,64.193333,-83.359444,Fairmont Hot Springs,1,YZS,America/Coral_Harbour,-5
48,2148,Dawson Creek,Canada,A,CYDQ,55.742333,-120.183,Dawson Creek,1,YDQ,America/Dawson_Creek,-7
168,2280,Fort Saint John,Canada,A,CYXJ,56.238056,-120.740278,Fort St John,1,YXJ,America/Dawson_Creek,-7
9430,3360,Didsbury,Canada,A,\N,51.710833,-114.106111,Olds Didsbury Airport,1,,America/Edmonton,-7
8471,3431,High River,Canada,A,\N,50.3333,-113.833,High River Regional Airport,1,,America/Edmonton,-7
4241,200,Inuvik,Canada,A,\N,68.3676,-133.7594,INAWR,1,,America/Edmonton,-7
4240,200,Inuvik,Canada,A,\N,66.3676,-133.7594,Inuvik Town,1,,America/Edmonton,-7
6863,358,Panorama,Canada,A,\N,50.2735,-116.14,RK Heliplex,1,,America/Edmonton,-7
9431,3663,Sundre,Canada,A,\N,51.774722,-114.680833,Sundre Airport,1,,America/Edmonton,-7
8150,2260,Wainwright,Canada,A,\N,52.830601,-111.100998,Field 21,1,,America/Edmonton,-7
8151,2260,Wainwright,Canada,A,\N,52.830601,-111.100998,Field 21,1,,America/Edmonton,-7
7277,1206,Wekweeti,Canada,A,CFJ2,64.190833,-114.076667,Wekweeti Airport,1,,America/Edmonton,-7
8226,125,Hope Bay,Canada,A,CHB3,68.163889,-106.614444,Hope Bay Aerodrome,1,,America/Edmonton,-7
4246,1,Nicholson Peninsula,Canada,A,YUCX,69.917,-128.95,Nicholson Peninsula,1,,America/Edmonton,-7
8904,1048,Wood Buffalo,Canada,A,\N,57.223889,-111.418889,Albian Aerodrome,1,JHL,America/Edmonton,-7
4236,23,Aklavik,Canada,A,CYKD,68.223333,-135.005833,Aklavik,1,LAK,America/Edmonton,-7
9084,1046,Fort Mcmurray,Canada,A,\N,57.055599,-111.573997,Fort McMurray - Mildred Lake Airport,1,NML,America/Edmonton,-7
7970,2208,Edmonton,Canada,A,\N,53.5789,-113.5307,Train Station,1,XZL,America/Edmonton,-7
26,56,Pelly Bay,Canada,A,CYBB,68.534444,-89.808056,Kugaaruk,1,YBB,America/Edmonton,-7
8031,3939,Calgary,Canada,A,CYBW,51.1031,-114.374,Calgary Springbank Airport,1,YBW,America/Edmonton,-7
7267,1839,Bonnyville,Canada,A,CYBF,54.304722,-110.741111,Bonnyville Airport,1,YBY,America/Edmonton,-7
32,90,Cambridge Bay,Canada,A,CYCB,69.108055,-105.138333,Cambridge Bay,1,YCB,America/Edmonton,-7
5462,850,Colville Lake,Canada,A,CEB3,67.0333,-126.083,Colville Lake Airport,1,YCK,America/Edmonton,-7
37,74,Coppermine,Canada,A,CYCO,67.816667,-115.143889,Kugluktuk,1,YCO,America/Edmonton,-7
38,2595,Coronation,Canada,A,CYCT,52.075001,-111.445278,Coronation,1,YCT,America/Edmonton,-7
49,2373,Edmonton,Canada,A,CYEG,53.309723,-113.579722,Edmonton Intl,1,YEG,America/Edmonton,-7
52,3041,Edson,Canada,A,CYET,53.578888,-116.465,Edson,1,YET,America/Edmonton,-7
54,224,Inuvik,Canada,A,CYEV,68.304167,-133.482778,Inuvik Mike Zubko,1,YEV,America/Edmonton,-7
59,526,Fort Resolution,Canada,A,CYFR,61.180832,-113.689722,Fort Resolution,1,YFR,America/Edmonton,-7
60,555,Fort Simpson,Canada,A,CYFS,61.760153,-121.236525,Fort Simpson,1,YFS,America/Edmonton,-7
8032,2575,Golden,Canada,A,CYGE,51.2992,-116.982,Golden Airport,1,YGE,America/Edmonton,-7
4239,215,Fort Good Hope,Canada,A,CYGH,66.26666667,-128.65,Fort Good Hope,1,YGH,America/Edmonton,-7
68,117,Holman Island,Canada,A,CYHI,70.762778,-117.806111,Ulukhaktok Holman,1,YHI,America/Edmonton,-7
69,152,Gjoa Haven,Canada,A,CYHK,68.635556,-95.849722,Gjoa Haven,1,YHK,America/Edmonton,-7
72,543,Hay River,Canada,A,CYHY,60.839722,-115.782778,Hay River,1,YHY,America/Edmonton,-7
5463,882,WhatÃ¬,Canada,A,CEM3,63.1317,-117.246,WhatÃ¬ Airport,1,YLE,America/Edmonton,-7
85,2193,Lloydminster,Canada,A,CYLL,53.309166,-110.0725,Lloydminster,1,YLL,America/Edmonton,-7
90,1211,Fort Mcmurray,Canada,A,CYMM,56.653333,-111.221944,Fort Mcmurray,1,YMM,America/Edmonton,-7
4094,1540,Ekati,Canada,A,CYOA,64.698889,-110.614722,Ekati,1,YOA,America/Edmonton,-7
98,1775,Cold Lake,Canada,A,CYOD,54.404999,-110.279444,Cold Lake,1,YOD,America/Edmonton,-7
99,1110,High Level,Canada,A,CYOJ,58.621389,-117.164722,High Level,1,YOJ,America/Edmonton,-7
7266,1756,Rainbow Lake,Canada,A,CYOP,58.491389,-119.407778,Rainbow Lake Airport,1,YOP,America/Edmonton,-7
4244,50,Paulatuk,Canada,A,CYPC,62.35,-124.3333,Paulatuk,1,YPC,America/Edmonton,-7
102,1873,Peace River,Canada,A,CYPE,56.226944,-117.447222,Peace River,1,YPE,America/Edmonton,-7
109,761,Fort Chipewyan,Canada,A,CYPY,58.767223,-111.117222,Fort Chipewyan,1,YPY,America/Edmonton,-7
112,2968,Red Deer Industrial,Canada,A,CYQF,52.182222,-113.894444,Red Deer Regional,1,YQF,America/Edmonton,-7
116,3047,Lethbridge,Canada,A,CYQL,49.630278,-112.799722,Lethbridge,1,YQL,America/Edmonton,-7
122,2195,Grande Prairie,Canada,A,CYQU,55.179722,-118.885,Grande Prairie,1,YQU,America/Edmonton,-7
5526,723,GamÃ¨tÃ¬,Canada,A,CYRA,64.1161,-117.31,Rae Lakes Airport,1,YRA,America/Edmonton,-7
